"%s: Bad command line argument(s)\n";"%s: Foutieve parameter(s) voor opdrachtregel\n"
"Western";"Westers"
"Western (color)";""
"Western (modern)";""
"Western Door";"Westelijke Deur"
"Wezen";""
"Willow";"Wilg"
"Wings";"Vleugels"
"Winnowing Basket";"Wan"
"Wolf's Mouth";""
"Woman's Bed";"Vrouwenbed"
"Woman's Cart";""
"Year";"Jaar"
"Yed Posterior";""
"Yed Prior";""
"Yes";"Ja"
"Yildun";""
"Zaniah";""
"Zaurak";""
"Zavijava";""
"Zibal";""
"Zoom Duration: ";"Duurtijd zoom: "
"Zoom In";""
"Zoom Offset: ";""
"Zoom Out";""
"Zoom out (planet and satellites views)";""
"Zoom to selected object";""
"Zosma";""
"Zubenelgenubi";""
"Zubeneschamali";""
"change to apply.";"de veranderingen te zien."
"kly";""
"ly";""
